docker-compose version 1.28.5, build c4eb3a1f /etc/ansible/Assignment/DockerDemo/examples/compose DRIVER    VOLUME NAME
local     3db594b776df0961dea657907b963e98e9d4be7bf0ec586e4e6b33e4d8ce482c
local     3ead4c77472e8fbfdc8fa6c2b40fea967526c7bf258051617e25a3a4f88eb46a
local     3f84147a9c7ef9b7a74d9e46a686f7da9f1c2db784498f3025ce6f30fed68dc8
local     4a4d0eced7442875a9d9e1ef8e17758aad69efe6ff7359422522fa1b42419914
local     4ad05f3fe8dc0504c8923fdfdeb8f29a25e1c0539be9a8d09840a255f9eb5d3e
local     4bb3089fd297ee697339c89dccc4c72c858ae3e62cc32a0ee1967f1bc41d3001
local     4bc08c4db4fc58b175dd2b76892aca7c8b9e3c12158ae206a6ced9c8fd3f4272
local     4d71905ddb6c518dcc511a8ebce107de46aa0d81233341332aba7fe916337488
local     4dffc32cee88cb211981516f4e3318555d956cd02d963fb62ae08de59d8fe557
local     4e768afc837b49dbf83ce4a0d578e80849c59044db2a41884afc86066d235eb7
local     4ec7a42f15c28b7fbb7007359221d321ebfa19072cef99afd4c9288c8c03e31e
local     4f3ade879b593922b3d4b90d19ab9f3dd8d80f0d231827f39c2820b99a46669f
local     4f579920ec02de4108e36fc02efa389a818d652b9852532f34434dbf2dc0ee35
local     4f65896050b0452bd82566cd6d2651b0dcb88be2c0c5b1e64baafca772905ca7
local     5a4f74cb00b07b283d9cee50929103fa4f9cc7df2e530842a9e7b6997224ed3b
local     5a931bc3850c926fbf240125d0caccd00aae5bcee2623ad71985c34e1d9a17b0
local     5cb5b6731417e7514e5420088af725e7a8aa9c79ec838cbab883e85fd048b808
local     5f97e1097245e593e0db1a7fade8967a1753a46a4266b4cd02556a6f2ae09c89
local     6bcbec511b79fb7c24b92586a5a2e570d24b5da2a29db4990b1a8a5afd719056
local     7a7b6a3217473146f6da8e581b6dee1d39222f52b4ce75c793d72c950187709f
local     7b7134610175e1bb9ed9300171a7d7e083d7bec3bea8324cbe0e836fc7b4e080
local     7bb3200935a1f9e3adfc1da1794edcc1892de33888440dc4da34b0381b73955e
local     7bcdd5a19a076d27f231d9b5a9682ddfe8db90f4f3c1cfa3bfe37e69319fc029
local     7e46a1d0b512115b23e4edbacf9e341b117b8f1f315f42d0275e6c9a2a10a629
local     7e718a8a25499a53b8de306bf289260113b9f794e4b05baaad45ef03551d2575
local     7ea9a29910a02d45beefc4aa9f3720a1f59797bc78d6d7c0728e2bca0b6d0139
local     7f91297ed324103daa868aaaa15e68d998150186a68f7da417e2cb255ac6dbf9
local     07dad379e5f7d2db5ac77c057a2ed4d51c329bcc2ae3e9f4e11a9659197a5e52
local     07e0dfa1b3753cfcbb964d7a5f6fde4c1f0695df13f70313793528b12192f514
local     8b5c82a6a7454df11e146d93b26a5c25082418df3e61209176b61df57d70d3ff
local     8c1314448e3ca1f4b16a4ac83aeb85da09d637163f783a587b5c6302bc30320d
local     8d1f8be5efe448933e19b28cfafd0b790e97fba94c1a6f684c4862031e06b29d
local     8e8f91f1f6c8439c7913428936e31d555d8d14da05d1e82a0fd9210284e17d38
local     8e067d1413c15090daee9e48d666b88cee2f7a76ff93ed305e659416ee5ae5d6
local     8f7de9059b33de6e18a5efbc8618c7dd58a32f5ebbac40d8285352e31c507798
